"","day","research_name","value"
"1",2022-06-01,"soil_vwc_15cm",0.318909335868852
"2",2022-06-01,"soil_vwc_15cm",0.319128022442623
"3",2022-06-01,"soil_vwc_15cm",0.406960346622951
"4",2022-06-01,"soil_vwc_15cm",0.35968373052459
"5",2022-06-01,"soil_vwc_15cm",0.332907565836066
"6",2022-06-01,"soil_vwc_15cm",0.362757106737705
"7",2022-06-01,"soil_vwc_15cm",0.331839123901639
"8",2022-06-01,"soil_vwc_15cm",0.393573917622951
"9",2022-06-01,"soil_vwc_15cm",0.370111054836066
"10",2022-06-01,"soil_vwc_15cm",0.303474667688525
"11",2022-06-01,"soil_vwc_15cm",0.373387474442623
"12",2022-06-01,"soil_vwc_15cm",0.296719611754098
"13",2022-06-01,"soil_vwc_15cm",0.349231478868852
"14",2022-06-01,"soil_vwc_15cm",0.343091721360656
"15",2022-06-01,"soil_vwc_15cm",0.29343670595082
"16",2022-06-01,"soil_vwc_15cm",0.300589709131148
"17",2022-06-01,"soil_vwc_15cm",0.401955292
"18",2022-06-01,"soil_vwc_15cm",0.404623916819672
"19",2022-06-01,"soil_vwc_15cm",0.301410785327869
"20",2022-06-01,"soil_vwc_15cm",0.843218059098361
"21",2022-06-01,"soil_vwc_15cm",0.425775149967213
"22",2022-06-01,"soil_vwc_15cm",0.301918362016393
"23",2022-06-01,"soil_vwc_15cm",0.357171092377049
"24",2022-06-01,"soil_vwc_15cm",0.333728896393443
"25",2022-06-01,"soil_vwc_15cm",0.327219489262295
"26",2022-06-01,"soil_vwc_15cm",0.364654064918033
"27",2022-06-01,"soil_vwc_15cm",0.331525560803279
"28",2022-06-01,"soil_vwc_15cm",0.396358340131148
"29",2022-06-01,"soil_vwc_15cm",0.307106810672131
"30",2022-06-01,"soil_vwc_15cm",0.340142981868852
"31",2022-06-01,"soil_vwc_15cm",0.35256964452459
"32",2022-06-01,"soil_vwc_15cm",0.382708329901639
"33",2022-06-01,"soil_vwc_15cm",0.321923700409836
"34",2022-06-02,"soil_vwc_15cm",0.313805271360656
"35",2022-06-02,"soil_vwc_15cm",0.316873814721311
"36",2022-06-02,"soil_vwc_15cm",0.406759719655738
"37",2022-06-02,"soil_vwc_15cm",0.337747286032787
"38",2022-06-02,"soil_vwc_15cm",0.360891625688525
"39",2022-06-02,"soil_vwc_15cm",0.370238998245902
"40",2022-06-02,"soil_vwc_15cm",0.378819091885246
"41",2022-06-02,"soil_vwc_15cm",0.300401736606557
"42",2022-06-02,"soil_vwc_15cm",0.377829310983607
"43",2022-06-02,"soil_vwc_15cm",0.291423695721311
"44",2022-06-02,"soil_vwc_15cm",0.351081825459016
"45",2022-06-02,"soil_vwc_15cm",0.354618519606557
"46",2022-06-02,"soil_vwc_15cm",0.301024538672131
"47",2022-06-02,"soil_vwc_15cm",0.299554270491803
"48",2022-06-02,"soil_vwc_15cm",0.407830959557377
"49",2022-06-02,"soil_vwc_15cm",0.315708143426229
"50",2022-06-02,"soil_vwc_15cm",0.84292242842623
"51",2022-06-02,"soil_vwc_15cm",0.43078160357377
"52",2022-06-02,"soil_vwc_15cm",0.305840857688525
"53",2022-06-02,"soil_vwc_15cm",0.36602379704918
"54",2022-06-02,"soil_vwc_15cm",0.339336658590164
"55",2022-06-02,"soil_vwc_15cm",0.340728520098361
"56",2022-06-02,"soil_vwc_15cm",0.366708281573771
"57",2022-06-02,"soil_vwc_15cm",0.336971358852459
"58",2022-06-02,"soil_vwc_15cm",0.400124912721311
"59",2022-06-02,"soil_vwc_15cm",0.30979591152459
"60",2022-06-02,"soil_vwc_15cm",0.346798137655738
"61",2022-06-02,"soil_vwc_15cm",0.359221048491803
"62",2022-06-02,"soil_vwc_15cm",0.386633305590164
"63",2022-06-02,"soil_vwc_15cm",0.324676772967213
"64",2022-06-03,"soil_vwc_15cm",0.314634932229508
"65",2022-06-03,"soil_vwc_15cm",0.332626942442623
"66",2022-06-03,"soil_vwc_15cm",0.41584179404918
"67",2022-06-03,"soil_vwc_15cm",0.378129647327869
"68",2022-06-03,"soil_vwc_15cm",0.369356748311475
"69",2022-06-03,"soil_vwc_15cm",0.379100605540984
"70",2022-06-03,"soil_vwc_15cm",0.393387598442623
"71",2022-06-03,"soil_vwc_15cm",0.31134961
"72",2022-06-03,"soil_vwc_15cm",0.388702465934426
"73",2022-06-03,"soil_vwc_15cm",0.300295604622951
"74",2022-06-03,"soil_vwc_15cm",0.357232647655738
"75",2022-06-03,"soil_vwc_15cm",0.381236599147541
"76",2022-06-03,"soil_vwc_15cm",0.319694292852459
"77",2022-06-03,"soil_vwc_15cm",0.306737224639344
"78",2022-06-03,"soil_vwc_15cm",0.312109894
"79",2022-06-03,"soil_vwc_15cm",0.370649218393443
"80",2022-06-03,"soil_vwc_15cm",0.345294103098361
"81",2022-06-03,"soil_vwc_15cm",0.377394672213115
"82",2022-06-03,"soil_vwc_15cm",0.345302624180328
"83",2022-06-03,"soil_vwc_15cm",0.407802471163934
"84",2022-06-03,"soil_vwc_15cm",0.32661493757377
"85",2022-06-03,"soil_vwc_15cm",0.352408061918033
"86",2022-06-03,"soil_vwc_15cm",0.391961843377049
"87",2022-06-03,"soil_vwc_15cm",0.327787095065574
"88",2022-06-04,"soil_vwc_15cm",0.311809621245902
"89",2022-06-04,"soil_vwc_15cm",0.369081848032787
"90",2022-06-04,"soil_vwc_15cm",0.340233597852459
"91",2022-06-04,"soil_vwc_15cm",0.365355528016393
"92",2022-06-04,"soil_vwc_15cm",0.340493045721311
"93",2022-06-04,"soil_vwc_15cm",0.401381263590164
"94",2022-06-04,"soil_vwc_15cm",0.371107258344262
"95",2022-06-04,"soil_vwc_15cm",0.38564587752459
"96",2022-06-04,"soil_vwc_15cm",0.306578885131148
"97",2022-06-04,"soil_vwc_15cm",0.380960109114754
"98",2022-06-04,"soil_vwc_15cm",0.296452087934426
"99",2022-06-04,"soil_vwc_15cm",0.353022088540984
"100",2022-06-04,"soil_vwc_15cm",0.365441692688525
"101",2022-06-04,"soil_vwc_15cm",0.307900924639344
"102",2022-06-04,"soil_vwc_15cm",0.303526175721311
"103",2022-06-04,"soil_vwc_15cm",0.409211629196721
"104",2022-06-04,"soil_vwc_15cm",0.409324374557377
"105",2022-06-04,"soil_vwc_15cm",0.320344947409836
"106",2022-06-04,"soil_vwc_15cm",0.843489016786885
"107",2022-06-04,"soil_vwc_15cm",0.437312249819672
"108",2022-06-04,"soil_vwc_15cm",0.305884607721311
"109",2022-06-04,"soil_vwc_15cm",0.363551602245902
"110",2022-06-04,"soil_vwc_15cm",0.335468341737705
"111",2022-06-04,"soil_vwc_15cm",0.332001342409836
"112",2022-06-04,"soil_vwc_15cm",0.372794496163934
"113",2022-06-04,"soil_vwc_15cm",0.337655461836066
"114",2022-06-04,"soil_vwc_15cm",0.401123214704918
"115",2022-06-04,"soil_vwc_15cm",0.317219999573771
"116",2022-06-04,"soil_vwc_15cm",0.345262117245902
"117",2022-06-04,"soil_vwc_15cm",0.355484681229508
"118",2022-06-04,"soil_vwc_15cm",0.388603646819672
"119",2022-06-04,"soil_vwc_15cm",0.320354358754098
"120",2022-06-05,"soil_vwc_15cm",0.307432201540984
"121",2022-06-05,"soil_vwc_15cm",0.365451421983607
"122",2022-06-05,"soil_vwc_15cm",0.333843358688525
"123",2022-06-05,"soil_vwc_15cm",0.323144504377049
"124",2022-06-05,"soil_vwc_15cm",0.36072120404918
"125",2022-06-05,"soil_vwc_15cm",0.299999910360656
"126",2022-06-05,"soil_vwc_15cm",0.374127155229508
"127",2022-06-05,"soil_vwc_15cm",0.351218925852459
"128",2022-06-05,"soil_vwc_15cm",0.404238115295082
"129",2022-06-05,"soil_vwc_15cm",0.405717158918033
"130",2022-06-05,"soil_vwc_15cm",0.309027615163934
"131",2022-06-05,"soil_vwc_15cm",0.428848653360656
"132",2022-06-05,"soil_vwc_15cm",0.302248267786885
"133",2022-06-05,"soil_vwc_15cm",0.359169286098361
"134",2022-06-05,"soil_vwc_15cm",0.33079745342623
"135",2022-06-05,"soil_vwc_15cm",0.332324761983607
"136",2022-06-05,"soil_vwc_15cm",0.397961130213115
"137",2022-06-05,"soil_vwc_15cm",0.310527961491803
"138",2022-06-05,"soil_vwc_15cm",0.341036868803279
"139",2022-06-05,"soil_vwc_15cm",0.352726267098361
"140",2022-06-05,"soil_vwc_15cm",0.385412120081967
"141",2022-06-05,"soil_vwc_15cm",0.314087102967213
