"","Site","Plot","TIMESTAMP","Instrument","Instrument_ID","Sensor_ID","Location","Value","research_name","ID","F_OOB","F_OOS"
"1","GCW","W",2022-06-01,"RM Young 05103-10-L",NA,NA,NA,0.04420889,"wx_windspeed15","3c76f8873f6b219c",NA,0
"2","GCW","W",2022-06-01 00:15:00,"RM Young 05103-10-L",NA,NA,NA,0,"wx_windspeed15","ef4532feced45856",NA,0
"3","GCW","W",2022-06-01 00:30:00,"RM Young 05103-10-L",NA,NA,NA,0.009364444,"wx_windspeed15","5d23b73010370b2a",NA,0
"4","GCW","W",2022-06-01 00:45:00,"RM Young 05103-10-L",NA,NA,NA,0.01676889,"wx_windspeed15","c752ca174d66eabd",NA,0
"5","GCW","W",2022-06-01 01:00:00,"RM Young 05103-10-L",NA,NA,NA,0.01829333,"wx_windspeed15","faee5758b80339f0",NA,0
"6","GCW","W",2022-06-01 01:15:00,"RM Young 05103-10-L",NA,NA,NA,0.002613333,"wx_windspeed15","eea5cb646b3b1bd8",NA,0
"7","GCW","W",2022-06-01 01:30:00,"RM Young 05103-10-L",NA,NA,NA,0.1425356,"wx_windspeed15","2353f6405f8ab667",NA,0
"8","GCW","W",2022-06-01 01:45:00,"RM Young 05103-10-L",NA,NA,NA,0.1905556,"wx_windspeed15","71daaf588bc14e50",NA,0
"9","GCW","W",2022-06-01 02:00:00,"RM Young 05103-10-L",NA,NA,NA,0.0392,"wx_windspeed15","9bb4de86ef1c80b0",NA,0
"10","GCW","W",2022-06-01 02:15:00,"RM Young 05103-10-L",NA,NA,NA,0.3235089,"wx_windspeed15","7f9ef088d6bb6d7c",NA,0
"11","GCW","W",2022-06-01 02:30:00,"RM Young 05103-10-L",NA,NA,NA,0.28518,"wx_windspeed15","3bbe15794f38fe00",NA,0
"12","GCW","W",2022-06-01 02:45:00,"RM Young 05103-10-L",NA,NA,NA,0.6971067,"wx_windspeed15","11e48e99b8305140",NA,0
"13","GCW","W",2022-06-01 03:00:00,"RM Young 05103-10-L",NA,NA,NA,0.6537688,"wx_windspeed15","5e6e51dade7801ca",NA,0
"14","GCW","W",2022-06-01 03:15:00,"RM Young 05103-10-L",NA,NA,NA,0.5590355,"wx_windspeed15","046df35dfb4be96f",NA,0
"15","GCW","W",2022-06-01 03:30:00,"RM Young 05103-10-L",NA,NA,NA,0.4584222,"wx_windspeed15","9a0dee18ece97ee9",NA,0
"16","GCW","W",2022-06-01 03:45:00,"RM Young 05103-10-L",NA,NA,NA,0.5727555,"wx_windspeed15","d5001d86b2e6ff44",NA,0
"17","GCW","W",2022-06-01 04:00:00,"RM Young 05103-10-L",NA,NA,NA,0.4958799,"wx_windspeed15","f23d4f603be7be58",NA,0
"18","GCW","W",2022-06-01 04:15:00,"RM Young 05103-10-L",NA,NA,NA,0.4295666,"wx_windspeed15","696c44735e052eb6",NA,0
"19","GCW","W",2022-06-01 04:30:00,"RM Young 05103-10-L",NA,NA,NA,0.4418711,"wx_windspeed15","f34ae9c6065ee1e7",NA,0
"20","GCW","W",2022-06-01 04:45:00,"RM Young 05103-10-L",NA,NA,NA,0.4684399,"wx_windspeed15","84e5f64305716b74",NA,0
"21","GCW","W",2022-06-01 05:00:00,"RM Young 05103-10-L",NA,NA,NA,0.4572244,"wx_windspeed15","ea1837cbb5d35be6",NA,0
"22","GCW","W",2022-06-01 05:15:00,"RM Young 05103-10-L",NA,NA,NA,0.5504333,"wx_windspeed15","67f78e7bb72ca5f0",NA,0
"23","GCW","W",2022-06-01 05:30:00,"RM Young 05103-10-L",NA,NA,NA,0.653551,"wx_windspeed15","68c0dfe5b535c177",NA,0
"24","GCW","W",2022-06-01 05:45:00,"RM Young 05103-10-L",NA,NA,NA,0.5567488,"wx_windspeed15","73fb88012dcc734a",NA,0
"25","GCW","W",2022-06-01 06:00:00,"RM Young 05103-10-L",NA,NA,NA,0.4815066,"wx_windspeed15","302ef7316dfa4a8b",NA,0
"26","GCW","W",2022-06-01 06:15:00,"RM Young 05103-10-L",NA,NA,NA,0.7626577,"wx_windspeed15","fbd07204254368b0",NA,0
"27","GCW","W",2022-06-01 06:30:00,"RM Young 05103-10-L",NA,NA,NA,0.6414644,"wx_windspeed15","538e7942abf20c0a",NA,0
"28","GCW","W",2022-06-01 06:45:00,"RM Young 05103-10-L",NA,NA,NA,0.9592022,"wx_windspeed15","792c8f813ce8e075",NA,0
"29","GCW","W",2022-06-01 07:00:00,"RM Young 05103-10-L",NA,NA,NA,1.117309,"wx_windspeed15","529073fd67768c99",NA,0
"30","GCW","W",2022-06-01 07:15:00,"RM Young 05103-10-L",NA,NA,NA,0.9940466,"wx_windspeed15","89aca26b1a5d92cb",NA,0
"31","GCW","W",2022-06-01 07:30:00,"RM Young 05103-10-L",NA,NA,NA,0.8768822,"wx_windspeed15","905bcf559c9e854a",NA,0
"32","GCW","W",2022-06-01 07:45:00,"RM Young 05103-10-L",NA,NA,NA,1.033682,"wx_windspeed15","e3bc1c9cbcefb233",NA,0
"33","GCW","W",2022-06-01 08:00:00,"RM Young 05103-10-L",NA,NA,NA,1.224455,"wx_windspeed15","a79871352a267d38",NA,0
"34","GCW","W",2022-06-01 08:15:00,"RM Young 05103-10-L",NA,NA,NA,0.9942644,"wx_windspeed15","b9735b357eda486c",NA,0
"35","GCW","W",2022-06-01 08:30:00,"RM Young 05103-10-L",NA,NA,NA,1.116329,"wx_windspeed15","9ad6720560335188",NA,0
"36","GCW","W",2022-06-01 08:45:00,"RM Young 05103-10-L",NA,NA,NA,1.346084,"wx_windspeed15","0b010d532f42ad42",NA,0
"37","GCW","W",2022-06-01 09:00:00,"RM Young 05103-10-L",NA,NA,NA,1.506369,"wx_windspeed15","ce49399d47c82e14",NA,0
"38","GCW","W",2022-06-01 09:15:00,"RM Young 05103-10-L",NA,NA,NA,1.626364,"wx_windspeed15","c8f2d32832a7ffe6",NA,0
"39","GCW","W",2022-06-01 09:30:00,"RM Young 05103-10-L",NA,NA,NA,1.621682,"wx_windspeed15","30e7e98c87e59455",NA,0
"40","GCW","W",2022-06-01 09:45:00,"RM Young 05103-10-L",NA,NA,NA,1.796449,"wx_windspeed15","dc3f18cd786c3a8d",NA,0
"41","GCW","W",2022-06-01 10:00:00,"RM Young 05103-10-L",NA,NA,NA,0.955391,"wx_windspeed15","c8809d861c09cf56",NA,0
"42","GCW","W",2022-06-01 10:15:00,"RM Young 05103-10-L",NA,NA,NA,1.454646,"wx_windspeed15","e296b5dc05a0d66b",NA,0
"43","GCW","W",2022-06-01 10:30:00,"RM Young 05103-10-L",NA,NA,NA,1.652606,"wx_windspeed15","51f5a4ddfd02cd06",NA,0
"44","GCW","W",2022-06-01 10:45:00,"RM Young 05103-10-L",NA,NA,NA,1.258864,"wx_windspeed15","55419e1a17e489be",NA,0
"45","GCW","W",2022-06-01 11:00:00,"RM Young 05103-10-L",NA,NA,NA,1.312329,"wx_windspeed15","c0b2dc5c27a7f17f",NA,0
"46","GCW","W",2022-06-01 11:15:00,"RM Young 05103-10-L",NA,NA,NA,1.067764,"wx_windspeed15","be9f301de4bc4770",NA,0
"47","GCW","W",2022-06-01 11:30:00,"RM Young 05103-10-L",NA,NA,NA,0.9154288,"wx_windspeed15","9211fd679ec98c23",NA,0
"48","GCW","W",2022-06-01 11:45:00,"RM Young 05103-10-L",NA,NA,NA,1.054915,"wx_windspeed15","5d39f0e65d1b0ffc",NA,0
"49","GCW","W",2022-06-01 12:00:00,"RM Young 05103-10-L",NA,NA,NA,0.8813466,"wx_windspeed15","0e4c289e56303aaf",NA,0
"50","GCW","W",2022-06-01 12:15:00,"RM Young 05103-10-L",NA,NA,NA,1.05742,"wx_windspeed15","a81c3c51a99a63ba",NA,0
"51","GCW","W",2022-06-01 12:30:00,"RM Young 05103-10-L",NA,NA,NA,1.10152,"wx_windspeed15","e2b6119218a3192d",NA,0
"52","GCW","W",2022-06-01 12:45:00,"RM Young 05103-10-L",NA,NA,NA,0.5116689,"wx_windspeed15","a7dae5b6f6df166f",NA,0
"53","GCW","W",2022-06-01 13:00:00,"RM Young 05103-10-L",NA,NA,NA,0.5846244,"wx_windspeed15","0f617c7d00949ca8",NA,0
"54","GCW","W",2022-06-01 13:15:00,"RM Young 05103-10-L",NA,NA,NA,0.5346444,"wx_windspeed15","60546f18aac1bbd3",NA,0
"55","GCW","W",2022-06-01 13:30:00,"RM Young 05103-10-L",NA,NA,NA,0.7516599,"wx_windspeed15","0caa8844f8b501c9",NA,0
"56","GCW","W",2022-06-01 13:45:00,"RM Young 05103-10-L",NA,NA,NA,1.130593,"wx_windspeed15","efa3c4721a3bdf1a",NA,0
"57","GCW","W",2022-06-01 14:00:00,"RM Young 05103-10-L",NA,NA,NA,0.9453733,"wx_windspeed15","c9865b37d1ba2c71",NA,0
"58","GCW","W",2022-06-01 14:15:00,"RM Young 05103-10-L",NA,NA,NA,0.7716954,"wx_windspeed15","135fb8c8da4e5aa3",NA,0
"59","GCW","W",2022-06-01 14:30:00,"RM Young 05103-10-L",NA,NA,NA,1.370911,"wx_windspeed15","c2c430438b49051d",NA,0
"60","GCW","W",2022-06-01 14:45:00,"RM Young 05103-10-L",NA,NA,NA,1.888024,"wx_windspeed15","ccf644015eb91bb1",NA,0
"61","GCW","W",2022-06-01 15:00:00,"RM Young 05103-10-L",NA,NA,NA,1.251678,"wx_windspeed15","9b932238822a1578",NA,0
"62","GCW","W",2022-06-01 15:15:00,"RM Young 05103-10-L",NA,NA,NA,0.78302,"wx_windspeed15","3049e712fe5b7390",NA,0
"63","GCW","W",2022-06-01 15:30:00,"RM Young 05103-10-L",NA,NA,NA,0.6446221,"wx_windspeed15","09d2f8b1cac46bd6",NA,0
"64","GCW","W",2022-06-01 15:45:00,"RM Young 05103-10-L",NA,NA,NA,0.6068377,"wx_windspeed15","c685446da660401e",NA,0
"65","GCW","W",2022-06-01 16:00:00,"RM Young 05103-10-L",NA,NA,NA,0.791731,"wx_windspeed15","88e5f89675cfaf78",NA,0
"66","GCW","W",2022-06-01 16:15:00,"RM Young 05103-10-L",NA,NA,NA,0.4920689,"wx_windspeed15","7e2465f4177c285b",NA,0
"67","GCW","W",2022-06-01 16:30:00,"RM Young 05103-10-L",NA,NA,NA,0.4300022,"wx_windspeed15","028ad734297bb35e",NA,0
"68","GCW","W",2022-06-01 16:45:00,"RM Young 05103-10-L",NA,NA,NA,0.3973355,"wx_windspeed15","2dde646278e6244d",NA,0
"69","GCW","W",2022-06-01 17:00:00,"RM Young 05103-10-L",NA,NA,NA,0.5396533,"wx_windspeed15","1c9fdd5e7fd6538a",NA,0
"70","GCW","W",2022-06-01 17:15:00,"RM Young 05103-10-L",NA,NA,NA,0.4346844,"wx_windspeed15","2bc4e7b57b849ba5",NA,0
"71","GCW","W",2022-06-01 17:30:00,"RM Young 05103-10-L",NA,NA,NA,0.3146889,"wx_windspeed15","ac94c7132c4aa309",NA,0
"72","GCW","W",2022-06-01 17:45:00,"RM Young 05103-10-L",NA,NA,NA,0.04061555,"wx_windspeed15","d905499417ac6114",NA,0
"73","GCW","W",2022-06-01 18:00:00,"RM Young 05103-10-L",NA,NA,NA,0.07829111,"wx_windspeed15","85576538313cb26d",NA,0
"74","GCW","W",2022-06-01 18:15:00,"RM Young 05103-10-L",NA,NA,NA,0.1015933,"wx_windspeed15","773fdc7914532c99",NA,0
"75","GCW","W",2022-06-01 18:30:00,"RM Young 05103-10-L",NA,NA,NA,0.07970666,"wx_windspeed15","068a8e66ebe86641",NA,0
"76","GCW","W",2022-06-01 18:45:00,"RM Young 05103-10-L",NA,NA,NA,0.02166889,"wx_windspeed15","d7645b8088370bee",NA,0
"77","GCW","W",2022-06-01 19:00:00,"RM Young 05103-10-L",NA,NA,NA,0,"wx_windspeed15","6791aed1698ee2ad",NA,0
"78","GCW","W",2022-06-01 19:15:00,"RM Young 05103-10-L",NA,NA,NA,0,"wx_windspeed15","420c1c33a13454f0",NA,0
"79","GCW","W",2022-06-01 19:30:00,"RM Young 05103-10-L",NA,NA,NA,0.02548,"wx_windspeed15","6dd1469cd20dbf54",NA,0
"80","GCW","W",2022-06-01 19:45:00,"RM Young 05103-10-L",NA,NA,NA,0.007948888,"wx_windspeed15","b64d6589c661318b",NA,0
