"","day","Sensor_ID","research_name","value"
"1",2022-06-01,"C1","sapflow_2.5cm",0.522934426229508
"2",2022-06-01,"C10","sapflow_2.5cm",0.682459016393443
"3",2022-06-01,"C11","sapflow_2.5cm",0.403426229508197
"4",2022-06-01,"C12","sapflow_2.5cm",0.00291176470588235
"5",2022-06-01,"C13","sapflow_2.5cm",0.453196721311475
"6",2022-06-01,"C14","sapflow_2.5cm",0.467180327868852
"7",2022-06-01,"C15","sapflow_2.5cm",0.322360655737705
"8",2022-06-01,"C16","sapflow_2.5cm",4.82450819672131
"9",2022-06-01,"C17","sapflow_2.5cm",0.0010625
"10",2022-06-01,"C18","sapflow_2.5cm",0.35816393442623
"11",2022-06-01,"C2","sapflow_2.5cm",0.611344262295082
"12",2022-06-01,"C3","sapflow_2.5cm",0.31544262295082
"13",2022-06-01,"C4","sapflow_2.5cm",0.371180327868852
"14",2022-06-01,"C5","sapflow_2.5cm",0.00659016393442623
"15",2022-06-01,"C6","sapflow_2.5cm",0.574360655737705
"16",2022-06-01,"C7","sapflow_2.5cm",0.594672131147541
"17",2022-06-01,"C8","sapflow_2.5cm",0.846606557377049
"18",2022-06-01,"C9","sapflow_2.5cm",0.38283606557377
"19",2022-06-01,NA,"wx_par_den15",815.278163934426
"20",2022-06-01,NA,"wx_tempavg15",29.6977049180328
"21",2022-06-01,NA,"wx_windspeed15",0.76359304895082
"22",2022-06-02,"C1","sapflow_2.5cm",0.523508196721311
"23",2022-06-02,"C10","sapflow_2.5cm",0.731934426229508
"24",2022-06-02,"C11","sapflow_2.5cm",0.426819672131148
"25",2022-06-02,"C12","sapflow_2.5cm",0.00207142857142857
"26",2022-06-02,"C13","sapflow_2.5cm",0.46972131147541
"27",2022-06-02,"C14","sapflow_2.5cm",0.504737704918033
"28",2022-06-02,"C15","sapflow_2.5cm",0.362
"29",2022-06-02,"C16","sapflow_2.5cm",5.32788524590164
"30",2022-06-02,"C17","sapflow_2.5cm",0.00118421052631579
"31",2022-06-02,"C18","sapflow_2.5cm",0.390016393442623
"32",2022-06-02,"C2","sapflow_2.5cm",0.646081967213115
"33",2022-06-02,"C3","sapflow_2.5cm",0.387852459016393
"34",2022-06-02,"C4","sapflow_2.5cm",0.377245901639344
"35",2022-06-02,"C5","sapflow_2.5cm",0.00716
"36",2022-06-02,"C6","sapflow_2.5cm",0.627967213114754
"37",2022-06-02,"C7","sapflow_2.5cm",0.628918032786885
"38",2022-06-02,"C8","sapflow_2.5cm",0.837622950819672
"39",2022-06-02,"C9","sapflow_2.5cm",0.402967213114754
"40",2022-06-02,NA,"wx_par_den15",588.536721311475
"41",2022-06-02,NA,"wx_tempavg15",22.9396721311475
"42",2022-06-02,NA,"wx_windspeed15",1.06886751442623
"43",2022-06-03,"C1","sapflow_2.5cm",0.502573770491803
"44",2022-06-03,"C10","sapflow_2.5cm",0.707533333333333
"45",2022-06-03,"C11","sapflow_2.5cm",0.413766666666667
"46",2022-06-03,"C12","sapflow_2.5cm",0.00358536585365854
"47",2022-06-03,"C13","sapflow_2.5cm",0.455672131147541
"48",2022-06-03,"C14","sapflow_2.5cm",0.473409836065574
"49",2022-06-03,"C15","sapflow_2.5cm",0.327491803278689
"50",2022-06-03,"C16","sapflow_2.5cm",1.4624
"51",2022-06-03,"C17","sapflow_2.5cm",0.00173684210526316
"52",2022-06-03,"C18","sapflow_2.5cm",0.37875
"53",2022-06-03,"C2","sapflow_2.5cm",0.619983606557377
"54",2022-06-03,"C3","sapflow_2.5cm",0.345081967213115
"55",2022-06-03,"C4","sapflow_2.5cm",0.359475409836066
"56",2022-06-03,"C5","sapflow_2.5cm",0.00595238095238095
"57",2022-06-03,"C6","sapflow_2.5cm",0.574475409836066
"58",2022-06-03,"C7","sapflow_2.5cm",0.5885
"59",2022-06-03,"C8","sapflow_2.5cm",0.621166666666667
"60",2022-06-03,"C9","sapflow_2.5cm",0.372229508196721
"61",2022-06-03,NA,"wx_par_den15",723.785737704918
"62",2022-06-03,NA,"wx_tempavg15",22.5203278688525
"63",2022-06-03,NA,"wx_windspeed15",1.61357083934426
"64",2022-06-04,"C1","sapflow_2.5cm",0.526098360655738
"65",2022-06-04,"C10","sapflow_2.5cm",0.698213114754098
"66",2022-06-04,"C11","sapflow_2.5cm",0.406540983606557
"67",2022-06-04,"C12","sapflow_2.5cm",0.00342857142857143
"68",2022-06-04,"C13","sapflow_2.5cm",0.449409836065574
"69",2022-06-04,"C14","sapflow_2.5cm",0.473524590163934
"70",2022-06-04,"C15","sapflow_2.5cm",0.327213114754098
"71",2022-06-04,"C16","sapflow_2.5cm",0.464213114754098
"72",2022-06-04,"C17","sapflow_2.5cm",0.00366666666666667
"73",2022-06-04,"C18","sapflow_2.5cm",0.365229508196721
"74",2022-06-04,"C2","sapflow_2.5cm",0.616081967213115
"75",2022-06-04,"C3","sapflow_2.5cm",0.328983606557377
"76",2022-06-04,"C4","sapflow_2.5cm",0.364459016393443
"77",2022-06-04,"C5","sapflow_2.5cm",0
"78",2022-06-04,"C6","sapflow_2.5cm",0.566459016393443
"79",2022-06-04,"C7","sapflow_2.5cm",0.600950819672131
"80",2022-06-04,"C9","sapflow_2.5cm",0.381114754098361
"81",2022-06-04,NA,"wx_par_den15",849.893606557377
"82",2022-06-04,NA,"wx_tempavg15",23.9770491803279
"83",2022-06-04,NA,"wx_windspeed15",0.856423549216393
"84",2022-06-05,"C1","sapflow_2.5cm",0.51472131147541
"85",2022-06-05,"C10","sapflow_2.5cm",0.702032786885246
"86",2022-06-05,"C11","sapflow_2.5cm",0.406131147540984
"87",2022-06-05,"C12","sapflow_2.5cm",0.0034
"88",2022-06-05,"C13","sapflow_2.5cm",0.453786885245902
"89",2022-06-05,"C14","sapflow_2.5cm",0.468262295081967
"90",2022-06-05,"C15","sapflow_2.5cm",0.321180327868852
"91",2022-06-05,"C16","sapflow_2.5cm",0.462655737704918
"92",2022-06-05,"C17","sapflow_2.5cm",0.001875
"93",2022-06-05,"C18","sapflow_2.5cm",0.364737704918033
"94",2022-06-05,"C2","sapflow_2.5cm",0.615918032786885
"95",2022-06-05,"C3","sapflow_2.5cm",0.341524590163934
"96",2022-06-05,"C4","sapflow_2.5cm",0.381508196721311
"97",2022-06-05,"C5","sapflow_2.5cm",0
"98",2022-06-05,"C6","sapflow_2.5cm",0.561737704918033
"99",2022-06-05,"C7","sapflow_2.5cm",0.603377049180328
"100",2022-06-05,"C9","sapflow_2.5cm",0.378655737704918
"101",2022-06-05,NA,"wx_par_den15",920.937245901639
"102",2022-06-05,NA,"wx_tempavg15",21.9231147540984
"103",2022-06-05,NA,"wx_windspeed15",1.46868790065574
"104",2022-06-06,"C1","sapflow_2.5cm",0.505360655737705
"105",2022-06-06,"C10","sapflow_2.5cm",0.703983606557377
"106",2022-06-06,"C11","sapflow_2.5cm",0.406737704918033
"107",2022-06-06,"C12","sapflow_2.5cm",0.00373684210526316
"108",2022-06-06,"C13","sapflow_2.5cm",0.456262295081967
"109",2022-06-06,"C14","sapflow_2.5cm",0.47655737704918
"110",2022-06-06,"C15","sapflow_2.5cm",0.329065573770492
"111",2022-06-06,"C16","sapflow_2.5cm",0.463983606557377
"112",2022-06-06,"C17","sapflow_2.5cm",0.00370588235294118
"113",2022-06-06,"C18","sapflow_2.5cm",0.370688524590164
"114",2022-06-06,"C2","sapflow_2.5cm",0.620229508196721
"115",2022-06-06,"C3","sapflow_2.5cm",0.339508196721311
"116",2022-06-06,"C4","sapflow_2.5cm",0.374180327868852
"117",2022-06-06,"C5","sapflow_2.5cm",6e-04
"118",2022-06-06,"C6","sapflow_2.5cm",0.569590163934426
"119",2022-06-06,"C7","sapflow_2.5cm",0.605803278688525
"120",2022-06-06,"C9","sapflow_2.5cm",0.385540983606557
"121",2022-06-06,NA,"wx_par_den15",923.627278688525
"122",2022-06-06,NA,"wx_tempavg15",22.6755737704918
"123",2022-06-06,NA,"wx_windspeed15",1.37045585345902
"124",2022-06-07,"C1","sapflow_2.5cm",0.51555
"125",2022-06-07,"C10","sapflow_2.5cm",0.731737704918033
